committee,date,alderman,status,period,total_absences,,date,,
Committee on Finance,2/7/11 0:00,"Thomas, Latasha R.",1,1,,,39119,,
Committee on Finance,2/7/11 0:00,"Tunney, Thomas",1,1,,,39119,,
Committee on Finance,2/7/11 0:00,"Zalewski, Michael R.",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Beale, Anthony",1,1,0,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Cullerton, Timothy M.",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Doherty, Brian",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Dowell, Pat",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Graham, Deborah L.",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Levar, Patrick",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Maldonado, Roberto",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Moreno, Proco Joe",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Reboyras, Ariel",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Reilly, Brendan",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Rugai, Virginia",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Schulter, Eugene",1,1,,,39119,,
Committee on Transportation and Public Way,2/7/11 0:00,"Suarez, Regner Ray",1,1,,,39119,,
Committee on Budget and Government Operations,2/8/11 0:00,"Austin, Carrie M.",1,1,0,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Balcer, James",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Beale, Anthony",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Brookins, Jr., Howard",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Burke, Edward M.",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Burnett, Jr., Walter",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Cardenas, George A.",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Cochran, Willie",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Daley, Vi",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Doherty, Brian",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Hairston, Leslie A.",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Harris, Michelle A.",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Lane, Lona",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Laurino, Margaret",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Levar, Patrick",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Lyle, Freddrenna",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Mell, Richard F.",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Mitts, Emma",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Moore, Joseph",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Munoz, Ricardo",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"O'Connor, Patrick",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Olivo, Frank",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Pope, John",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Reboyras, Ariel",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Rugai, Virginia",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Schulter, Eugene",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Shiller, Helen",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Smith, Mary Ann",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Solis, Daniel",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Stone, Bernard",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Suarez, Regner Ray",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Thomas, Latasha R.",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Thompson, JoAnn",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Tunney, Thomas",1,1,,,39120,,
Committee on Budget and Government Operations,2/8/11 0:00,"Zalewski, Michael R.",1,1,,,39120,,
Committee on License and Consumer Protection,2/28/11 0:00,"Cardenas, George A.",1,1,0,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Cochran, Willie",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Doherty, Brian",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Fioretti, Bob",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Graham, Deborah L.",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Lyle, Freddrenna",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Olivo, Frank",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Reboyras, Ariel",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Rice, John",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Schulter, Eugene",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Shiller, Helen",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Smith, Mary Ann",1,1,,,39140,,
Committee on License and Consumer Protection,2/28/11 0:00,"Tunney, Thomas",1,1,,,39140,,
Committee on Housing and Real Estate,3/2/11 0:00,"Austin, Carrie M.",1,1,0,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Balcer, James",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Cardenas, George A.",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Dixon, Sharon",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Dowell, Pat",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Lane, Lona",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Mell, Richard F.",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Pope, John",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Reboyras, Ariel",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Rice, John",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Shiller, Helen",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Stone, Bernard",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Suarez, Regner Ray",1,1,,,39142,,
Committee on Housing and Real Estate,3/2/11 0:00,"Waguespack, Scott",1,1,,,39142,,
Committee on Transportation and Public Way,3/4/11 0:00,"Beale, Anthony",1,1,0,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Cullerton, Timothy M.",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Doherty, Brian",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Dowell, Pat",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Graham, Deborah L.",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Levar, Patrick",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Maldonado, Roberto",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Moreno, Proco Joe",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Reboyras, Ariel",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Reilly, Brendan",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Rugai, Virginia",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Schulter, Eugene",1,1,,,39144,,
Committee on Transportation and Public Way,3/4/11 0:00,"Suarez, Regner Ray",1,1,,,39144,,
Committee on Aviation,3/8/11 0:00,"Balcer, James",1,1,0,,39148,,
Committee on Aviation,3/8/11 0:00,"Burke, Edward M.",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Cardenas, George A.",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Cochran, Willie",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Doherty, Brian",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Levar, Patrick",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Lyle, Freddrenna",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Mitts, Emma",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Olivo, Frank",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Rice, John",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Solis, Daniel",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Suarez, Regner Ray",1,1,,,39148,,
Committee on Aviation,3/8/11 0:00,"Zalewski, Michael R.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Austin, Carrie M.",1,1,0,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Balcer, James",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Beale, Anthony",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Brookins, Jr., Howard",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Burke, Edward M.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Burnett, Jr., Walter",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Cardenas, George A.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Cochran, Willie",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Daley, Vi",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Doherty, Brian",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Hairston, Leslie A.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Harris, Michelle A.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Lane, Lona",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Laurino, Margaret",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Levar, Patrick",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Lyle, Freddrenna",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Mell, Richard F.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Mitts, Emma",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Moore, Joseph",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Munoz, Ricardo",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"O'Connor, Patrick",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Olivo, Frank",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Pope, John",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Reboyras, Ariel",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Rugai, Virginia",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Schulter, Eugene",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Shiller, Helen",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Smith, Mary Ann",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Solis, Daniel",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Stone, Bernard",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Suarez, Regner Ray",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Thomas, Latasha R.",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Thompson, JoAnn",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Tunney, Thomas",1,1,,,39148,,
Committee on Budget and Government Operations,3/8/11 0:00,"Zalewski, Michael R.",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Colon, Rey",1,1,0,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Cullerton, Timothy M.",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Daley, Vi",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Ervin, Jason C.",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Foulkes, Toni",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Jackson, Sandi",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Laurino, Margaret",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Maldonado, Roberto",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Moreno, Proco Joe",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Newsome, Shirley",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Rice, John",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Rugai, Virginia",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Tunney, Thomas",1,1,,,39148,,
"Committee on Economic, Capital and Technology Development",3/8/11 0:00,"Zalewski, Michael R.",1,1,,,39148,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Austin, Carrie M.",1,1,0,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Balcer, James",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Beale, Anthony",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Brookins, Jr., Howard",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Burke, Edward M.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Burnett, Jr., Walter",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Cardenas, George A.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Cochran, Willie",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Colon, Rey",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Cullerton, Timothy M.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Daley, Vi",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Dixon, Sharon",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Doherty, Brian",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Dowell, Pat",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Ervin, Jason C.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Fioretti, Bob",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Foulkes, Toni",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Graham, Deborah L.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Hairston, Leslie A.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Harris, Michelle A.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Jackson, Sandi",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Lane, Lona",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Laurino, Margaret",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Levar, Patrick",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Lyle, Freddrenna",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Maldonado, Roberto",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Mell, Richard F.",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Mitts, Emma",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Moore, Joseph",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Moreno, Proco Joe",1,1,,,39149,,
"Committee on Committees, Rules and Ethics",3/9/11 0:00,"Munoz, Ricardo",1,1,,,39149,,
